County,Year,Gender,Level,Enrollment
Garissa,2021,male,primary,7270
Nakuru,2022,male,secondary,860
 ,2015,male,secondary,5390
Uasin Gishu,2019,female,secondary,5191
Lamu,2011,female,primary,5734
Isiolo,2021,male,primary,6265
Busia,2012,female,primary,466
Siaya,2013,female,secondary,4426
Lamu,2014,male,secondary,5578
Uasin Gishu,2022,male,secondary,8322
Embu,2020,female,primary,1685
Embu,2014,male,primary,769
West Pokot,2018,female,primary,6949
Kericho,2010,male,secondary,2433
Lamu,2011,female,secondary,5311
Laikipia,2010,male,secondary,5051
Isiolo,2022,female,secondary,6420
Kajiado,2017,female,secondary,1184
Kitui,2014,female,primary,4555
Kirinyaga,2022,female,secondary,3385
Elgeyo Marakwet,2013,female,secondary,6396
Uasin Gishu,2010,female,secondary,8666
Lamu,2012,female,primary,9274
Isiolo,2014,female,secondary,2558
Nyandarua,2018,female,primary,7849
Kericho,2015,female,primary,2047
Uasin Gishu,2014,female,primary,2747
Murang'a,2016,male,primary,9167
Kilifi,2015,male,secondary,9998
Uasin Gishu,2013,female,secondary,189
Samburu,2018,female,secondary,2734
Mombasa,2014,male,primary,3005
Mandera,2015,male,primary,4658
Samburu,2017,male,primary,1899
Mandera,2017,female,primary,7734
Tana River,2011,female,primary,1267
Makueni,2011,female,secondary,1528
Kiambu,2021,male,secondary,3556
Marsabit,2010,female,secondary,3890
Elgeyo Marakwet,2010,female,secondary,8838
Wajir,2016,male,primary,5393
Machakos,2013,male,secondary,8792
Marsabit,2012,male,primary,8433
Kirinyaga,2018,female,secondary,7513
Taita Taveta,2015,male,secondary,2612
Wajir,2017,female,secondary,7041
Kakamega,2011,male,primary,6235
Kirinyaga,2012,male,secondary,5486
Siaya,2019,male,secondary,7099
Nairobi,2015,female,primary,9670
Busia,2019,female,secondary,775
Tharaka-Nithi,2019,female,secondary,8226
Bungoma,2021,male,secondary,3152
Bungoma,2016,male,secondary,1585
Garissa,2013,male,primary,3943
Lamu,2020,male,secondary,7555
Lamu,2021,female,primary,3073
Uasin Gishu,2016,female,primary,1021
Nyandarua,2019,female,secondary,3843
Uasin Gishu,2014,female,primary,7989
Elgeyo Marakwet,2017,male,primary,9692
Uasin Gishu,2018,female,secondary,6873
Turkana,2022,male,secondary,5675
Elgeyo Marakwet,2015,female,primary,161
Kajiado,2012,male,secondary,4297
Turkana,2011,male,primary,995
Nyandarua,2016,female,primary,7629
Turkana,2022,female,secondary,9467
Meru,2017,male,secondary,1016
Narok,2012,female,primary,6439
Tana River,2010,male,primary,7892
 ,2014,female,secondary,6863
Kirinyaga,2019,male,secondary,7916
Tharaka-Nithi,2019,female,secondary,8529
Kisumu,2011,male,primary,878
Kajiado,2011,female,secondary,4887
Mombasa,2014,female,secondary,4859
Tharaka-Nithi,2010,male,primary,6331
Migori,2012,female,secondary,8571
Makueni,2016,male,secondary,8684
Busia,2019,male,secondary,7208
Homa Bay,2010,male,secondary,5276
Taita Taveta,2013,female,primary,2062
Elgeyo Marakwet,2017,female,primary,64
Marsabit,2018,female,primary,8006
Trans Nzoia,2020,female,secondary,2568
Kilifi,2011,female,primary,5463
Kitui,2013,female,secondary,2695
Nakuru,2014,male,primary,9687
Meru,2018,male,secondary,5258
Isiolo,2017,male,primary,5618
Elgeyo Marakwet,2017,female,secondary,6736
Mandera,2012,female,secondary,391
Kisumu,2017,female,secondary,3561
Tana River,2010,female,secondary,6184
Trans Nzoia,2013,female,primary,3099
Lamu,2014,male,secondary,6278
Uasin Gishu,2012,male,secondary,8392
