County,Year,Gender,Level,Enrollment
Garissa,2021,male,Primary,7270.0
Nakuru,2022,male,Secondary,860.0
 ,2015,Male,Secondary,5390.0
Uasin Gishu,2019,FEMALE,Secondary,5191.0
Lamu,2011,Female,P,5734.0
Isiolo,2021,M,primary,6265.0
Busia,2012,Female,primary,466.0
Siaya,2013,F,S,4426.0
Lamu,2014,male,S,5578.0
Uasin Gishu,2022,Male,S,8322.0
Embu,2020,Female,primary,1685.0
Embu,2014,Male,primary,769.0
West Pokot,2018,Female,Primary,6949.0
Kericho,2010,M,S,2433.0
Lamu,2011,F,SECONDARY,5311.0
Laikipia,2010,male,S,5051.0
Isiolo,2022,F,SECONDARY,6420.0
Kajiado,2017,FEMALE,SECONDARY,1184.0
Kitui,2014,FEMALE,P,4555.0
Kirinyaga,2022,F,Secondary,3385.0
Elgeyo Marakwet,2013,FEMALE,SECONDARY,6396.0
Uasin Gishu,2010,FEMALE,Secondary,8666.0
Lamu,2012,FEMALE,primary,9274.0
Isiolo,2014,F,SECONDARY,2558.0
Nyandarua,2018,FEMALE,primary,7849.0
Kericho,2015,F,primary,2047.0
Uasin Gishu,2014,Female,primary,2747.0
Murang'a,2016,M,primary,9167.0
Kilifi,2015,M,Secondary,9998.0
Uasin Gishu,2013,Female,S,189.0
Samburu,2018,F,SECONDARY,2734.0
Mombasa,2014,M,primary,3005.0
Mandera,2015,M,primary,4658.0
Samburu,2017,male,P,1899.0
Mandera,2017,F,P,7734.0
Tana River,2011,F,P,1267.0
Makueni,2011,FEMALE,S,1528.0
Kiambu,2021,Male,Secondary,3556.0
Marsabit,2010,Female,SECONDARY,3890.0
Elgeyo Marakwet,2010,FEMALE,S,8838.0
Wajir,2016,male,Primary,5393.0
Machakos,2013,M,SECONDARY,8792.0
Marsabit,2012,M,Primary,8433.0
Kirinyaga,2018,F,Secondary,7513.0
Taita Taveta,2015,M,Secondary,2612.0
Wajir,2017,F,Secondary,7041.0
Lamu,2019,FEMALE,P,
Kakamega,2011,M,Primary,6235.0
Kirinyaga,2012,male,Secondary,5486.0
Siaya,2019,M,SECONDARY,7099.0
Nairobi,2015,Female,primary,9670.0
Busia,2019,FEMALE,S,775.0
Tharaka-Nithi,2019,FEMALE,S,8226.0
Bungoma,2021,male,SECONDARY,3152.0
Bungoma,2016,Male,S,1585.0
Garissa,2013,Male,Primary,3943.0
Lamu,2020,Male,S,7555.0
Lamu,2021,F,Primary,3073.0
Uasin Gishu,2016,F,Primary,1021.0
Nyandarua,2019,FEMALE,Secondary,3843.0
Uasin Gishu,2014,Female,Primary,7989.0
Elgeyo Marakwet,2017,male,Primary,9692.0
Uasin Gishu,2018,Female,SECONDARY,6873.0
Turkana,2022,male,Secondary,5675.0
Elgeyo Marakwet,2015,FEMALE,primary,161.0
Kajiado,2012,M,S,4297.0
Turkana,2011,M,Primary,995.0
Nyandarua,2016,F,P,7629.0
Turkana,2022,FEMALE,SECONDARY,9467.0
Meru,2017,M,Secondary,1016.0
Elgeyo Marakwet,2021,FEMALE,S,
Narok,2012,F,Primary,6439.0
Tana River,2010,M,P,7892.0
 ,2014,FEMALE,S,6863.0
Kirinyaga,2019,M,S,7916.0
Tharaka-Nithi,2019,F,SECONDARY,8529.0
Kisumu,2011,male,primary,878.0
Lamu,2022,Male,S,
Kajiado,2011,F,S,4887.0
Mombasa,2014,Female,S,4859.0
Tharaka-Nithi,2010,Male,P,6331.0
Migori,2012,Female,Secondary,8571.0
Makueni,2016,male,S,8684.0
Busia,2019,male,S,7208.0
Homa Bay,2010,M,Secondary,5276.0
Taita Taveta,2013,F,P,2062.0
Elgeyo Marakwet,2017,F,primary,64.0
Marsabit,2018,FEMALE,P,8006.0
Trans Nzoia,2020,F,SECONDARY,2568.0
Kilifi,2011,F,primary,5463.0
Mandera,2018,M,SECONDARY,
Kitui,2013,Female,Secondary,2695.0
Nakuru,2014,Male,Primary,9687.0
Meru,2018,Male,S,5258.0
Isiolo,2017,M,primary,5618.0
Elgeyo Marakwet,2017,FEMALE,Secondary,6736.0
Mandera,2012,Female,Secondary,391.0
Kiambu,2014,Female,Primary,
Kisumu,2017,Female,Secondary,3561.0
Tana River,2010,FEMALE,SECONDARY,6184.0
Trans Nzoia,2013,F,Primary,3099.0
Lamu,2014,M,Secondary,6278.0
Uasin Gishu,2012,Male,S,8392.0
Turkana,2012,F,Secondary,3104.0
Vihiga,two thousand twelve,Female,P,7215.0
Elgeyo Marakwet,2019,F,SECONDARY,2454.0
Kajiado,2010,male,primary,8996.0
Tana River,2021,male,Secondary,2731.0
Wajir,2020,Male,Secondary,8154.0
Makueni,2017,F,primary,9762.0
Samburu,2010,FEMALE,Primary,5056.0
Isiolo,2012,FEMALE,Secondary,8110.0
Kirinyaga,2012,FEMALE,SECONDARY,3840.0
Meru,2013,male,Primary,1028.0
Laikipia,2010,Male,SECONDARY,7385.0
Taita Taveta,2016,male,SECONDARY,502.0
Makueni,2021,FEMALE,Primary,
Isiolo,2017,male,P,9062.0
Laikipia,2014,male,S,6938.0
Nyeri,2014,Female,Primary,4488.0
Mombasa,2013,male,P,206.0
Bungoma,2012,Female,primary,5134.0
Kericho,2010,male,Primary,5977.0
Bungoma,2019,male,SECONDARY,7721.0
Kajiado,2017,male,Secondary,7035.0
Tharaka-Nithi,2020,FEMALE,SECONDARY,1484.0
Murang'a,2011,male,primary,7858.0
Nakuru,2018,M,P,863.0
Kitui,2015,F,Primary,2790.0
Kisumu,2014,Female,S,7408.0
Trans Nzoia,2020,male,Primary,8755.0
Lamu,2018,Female,Secondary,5116.0
Nyeri,2016,Female,S,6019.0
Marsabit,2022,Female,SECONDARY,1757.0
Kilifi,2018,FEMALE,primary,7574.0
Tana River,2013,FEMALE,SECONDARY,6374.0
Uasin Gishu,2019,M,primary,6892.0
Homa Bay,2021,male,Secondary,1678.0
Kericho,2012,Male,primary,3242.0
Laikipia,2011,F,S,4636.0
Tharaka-Nithi,2012,Female,Secondary,1059.0
Wajir,2018,Male,P,6668.0
Kilifi,2018,M,primary,9914.0
Embu,2012,Female,Secondary,3157.0
Busia,2015,F,primary,5915.0
Nyeri,2018,male,Primary,9789.0
Turkana,2013,F,S,2693.0
Marsabit,2011,Female,primary,3627.0
Machakos,2013,Female,Secondary,9555.0
Embu,2020,F,P,5450.0
Narok,2017,Female,S,1663.0
Uasin Gishu,2013,F,primary,9721.0
Tana River,2017,Male,P,5592.0
Kakamega,2021,Female,P,7392.0
Migori,2020,M,primary,1306.0
West Pokot,2021,FEMALE,Secondary,6776.0
Machakos,2020,F,Primary,5864.0
Elgeyo Marakwet,2010,male,Secondary,9474.0
Kakamega,2012,Female,primary,7526.0
Lamu,2011,F,SECONDARY,8901.0
Homa Bay,2014,M,P,5575.0
Vihiga,2015,Female,S,
Makueni,2013,M,Secondary,4413.0
Kisumu,2015,male,S,3748.0
Marsabit,2013,FEMALE,S,663.0
Nyandarua,2017,F,SECONDARY,1998.0
Uasin Gishu,2019,FEMALE,P,7994.0
West Pokot,2010,Male,S,1495.0
Kiambu,2011,F,SECONDARY,3304.0
Nairobi,2017,FEMALE,SECONDARY,3763.0
Narok,2020,FEMALE,primary,5232.0
Siaya,2015,M,SECONDARY,1853.0
Lamu,2019,Male,Secondary,6585.0
Makueni,2019,male,S,1291.0
Machakos,2020,Female,primary,3581.0
Narok,2017,Male,S,
Garissa,2012,Male,P,7280.0
Kirinyaga,2021,FEMALE,S,1636.0
Kirinyaga,2011,male,Secondary,3696.0
Mandera,2015,Male,SECONDARY,698.0
Machakos,2017,Female,Secondary,4737.0
Taita Taveta,2015,FEMALE,primary,
Migori,2012,male,P,8164.0
Machakos,2018,Female,primary,5855.0
Vihiga,2014,M,primary,7392.0
Kitui,2011,Female,SECONDARY,6528.0
West Pokot,2013,Female,P,
Wajir,2015,Female,S,5172.0
Nakuru,2017,Female,Primary,
Mandera,2014,Female,Primary,5791.0
Marsabit,2019,M,S,9925.0
Kakamega,2012,FEMALE,Secondary,5535.0
Kakamega,2015,male,P,4931.0
Tharaka-Nithi,2018,Female,Primary,3510.0
Migori,2019,F,primary,202.0
Bungoma,2012,FEMALE,primary,4218.0
Samburu,2012,F,Secondary,8958.0
Wajir,2019,FEMALE,S,4389.0
Mombasa,2012,F,P,2327.0
Bungoma,2018,F,SECONDARY,8004.0
Isiolo,2021,M,P,2931.0
Samburu,2017,Male,P,7777.0
 ,2011,FEMALE,primary,197.0
Meru,2021,FEMALE,S,7125.0
Kisumu,2014,F,SECONDARY,1930.0
Taita Taveta,2022,male,S,6287.0
Kitui,2015,male,S,8800.0
Kisumu,2012,F,SECONDARY,9339.0
Nairobi,2021,Male,SECONDARY,4282.0
Nyeri,2013,Male,Primary,2511.0
